1590599675.582816,0
1590599676.9223852,1
1590599678.264771,2
1590599679.5916874,3
1590599680.9154043,4
1590599682.2073848,5
1590599683.533743,6
1590599684.815403,7
1590599686.0961666,8
1590599687.4569235,9
1590599688.8008635,10
1590599690.144886,11
1590599691.4261467,12
1590599692.683002,13
1590599693.9175587,14
1590599695.214986,15
1590599696.5736272,16
1590599697.8708642,17
1590599699.1206298,18
1590599700.339888,19
1590599701.6211329,20
1590599702.933482,21
1590599704.2455053,22
1590599705.5584366,23
1590599706.8705418,24
1590599708.1830044,25
1590599709.4960792,26
1590599710.8549137,27
1590599712.1906798,28
1590599713.527246,29
1590599714.8523862,30
1590599716.1960392,31
1590599717.5345144,32
1590599718.8470376,33
1590599720.1588974,34
1590599721.4433188,35
1590599722.577649,36
1590599723.758068,37
1590599725.0862901,38
1590599726.4132054,39
1590599727.7260363,40
1590599728.9443302,41
1590599730.210437,42
1590599731.571349,43
1590599732.7893543,44
1590599733.9462626,45
1590599735.1960814,46
1590599736.4931338,47
1590599737.8164856,48
1590599739.1530855,49
